"userid","created_date","email","firstname","lastname","account_status","last_login_date"
"672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","2025-06-12T01:03:36.964Z","johnsonjoshua@example.org","Donald","Garcia","active","2025-12-04T20:12:46.055Z"
"c3c18938-528e-4794-9434-1a036c1c6141","2025-05-25T00:56:27.791Z","johnsonjeffery@example.net","Carolyn","Hoffman","active","2025-12-09T12:30:10.331Z"
"6da5701d-2ecb-4e42-93a7-1994418e3eb0","2024-10-22T17:06:05.984Z","zlawrence@example.org","Katherine","Moore","active","2025-11-26T19:36:58.517Z"
"878f82ba-5db2-4248-b57d-888176bafa47","2025-07-30T14:12:51.675Z","curtis61@example.com","Melanie","Munoz","active","2025-12-10T08:57:20.791Z"
"1e13b0e8-058a-4631-bf63-d015275f55ca","2025-02-12T17:53:22.453Z","smiller@example.net","Christine","Hensley","active","2025-12-09T14:50:26.199Z"
"6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","2024-11-14T05:00:02.423Z","kendragalloway@example.org","Michelle","James","active","2025-12-13T12:06:30.225Z"
"f17d0d50-d672-4207-a5d1-2c4b080b7e5c","2024-06-14T19:56:11.469Z","jason41@example.net","Cynthia","Ferguson","active","2025-12-02T08:22:34.469Z"
"c9f5d4f8-2f02-4f79-8b9c-80f35c6f1391","2024-08-05T10:24:01.115Z","gabriellecameron@example.org","Jeremy","Johnson","active","2025-11-26T12:19:20.350Z"
"f6dc1231-029c-4c50-b2e2-d29ce14296bb","2024-06-16T03:47:02.301Z","jason76@example.net","Stephen","Baker","active","2025-12-05T07:44:02.203Z"
"ce52a4a8-00e9-472a-99cb-16c5d5400117","2024-12-25T04:47:57.469Z","zhurst@example.com","Jeffrey","Bright","active","2025-11-21T05:00:13.196Z"
"ea541468-eced-48b2-97d3-a74dc24c45ee","2024-09-22T18:23:42.153Z","hernandezernest@example.net","Robert","Brown","active","2025-12-18T08:45:22.617Z"
"f9d55d7d-c046-4495-8189-17209030d8af","2024-08-23T11:49:19.192Z","frazierdanny@example.net","Karen","Mack","active","2025-11-27T06:52:08.333Z"
"5ea91edc-849d-4e65-9f75-d80a82c32ff0","2024-12-23T20:27:37.155Z","mckaynancy@example.com","Teresa","Gill","inactive","2025-11-21T16:09:52.852Z"
"5fb9b81d-3d82-42a5-892c-7e59e5ee72ce","2025-10-19T22:36:57.440Z","ericfarmer@example.net","Stephanie","Nielsen","active","2025-12-06T10:47:20.362Z"
"ce011ffe-96f2-4700-aef1-619edd4632b2","2025-02-05T10:39:30.579Z","hickmannatasha@example.com","John","Allen","active","2025-11-20T20:15:14.269Z"
"c6397d8d-271d-4c5d-aa9a-64fdefccc8e7","2025-01-23T14:55:17.703Z","spenceamanda@example.org","David","Alvarez","active","2025-11-26T10:23:22.782Z"
"f98282d8-03e9-4566-9b0f-5758994e8493","2024-10-05T10:58:13.354Z","ibrandt@example.net","Hannah","Marquez","active","2025-12-08T15:09:48.599Z"
"952a1e86-4ddf-4285-8a13-56fa86e5a2a7","2024-06-04T02:17:23.732Z","omartinez@example.org","Matthew","Chapman","active","2025-11-25T02:06:19.460Z"
"c82a0f84-0c5c-4e23-8543-ddb5dd57672c","2025-04-20T16:13:34.279Z","perezrebecca@example.com","Chad","Young","active","2025-11-24T21:47:57.804Z"
"e89b5ace-efea-4703-b5ed-a33ef5a753fb","2024-10-28T21:00:40.731Z","esanchez@example.com","James","Davis","active","2025-12-01T04:31:31.790Z"
"6146ce71-b657-4a60-bfc1-ddcf4358f014","2025-07-25T19:37:57.017Z","nuneztracey@example.org","Bruce","Chandler","active","2025-11-21T18:13:21.331Z"
"ff5672ca-10c7-4d10-b920-e53e4a34ca4f","2024-02-12T01:38:26.041Z","ltaylor@example.com","Steven","Baxter","active","2025-12-12T17:19:29.658Z"
"39870309-0193-44b0-a15b-5e59cd23079b","2025-08-29T22:57:18.470Z","williamsyvette@example.org","Tanya","House","active","2025-11-23T11:17:34.398Z"
"81e21177-c908-4ebd-bf5b-80928c1ad9fd","2024-06-29T17:26:29.786Z","michellebarrera@example.org","Nicholas","Galloway","active","2025-12-12T00:04:47.000Z"
"a7cc2fc1-169a-42d9-97e0-5c12340c1aca","2024-05-05T17:13:37.728Z","uhorton@example.net","Dorothy","Tucker","active","2025-11-25T00:17:36.728Z"
"cfe00395-8ba8-4d40-a7b8-b822426a14fe","2025-01-09T23:28:38.466Z","adkinsbrian@example.net","Thomas","Calhoun","active","2025-11-20T04:30:07.870Z"
"5bce5e51-b830-46f1-9c99-b854827decb4","2025-02-07T03:18:17.046Z","caseyjones@example.org","Richard","David","active","2025-12-05T20:22:14.197Z"
"aa53499f-5042-46f4-88ba-b11f714973f2","2025-04-21T05:20:35.556Z","barnesbrandy@example.net","Leslie","Green","active","2025-11-27T21:45:40.572Z"
