userid,created_date,email,firstname,lastname,account_status,last_login_date
7777b733-a6b8-47e7-83ad-bc2739ae9954,2025-04-29T03:55:08.964Z,johnsonjoshua@example.org,Donald,Garcia,active,2025-10-21T23:04:18.055Z
b87ff4b3-a1dd-419b-a65d-f3969dfc7526,2025-04-11T03:47:59.791Z,johnsonjeffery@example.net,Carolyn,Hoffman,active,2025-10-26T15:21:42.331Z
a9813d8f-eaec-4e90-8f4b-f9f4a01939ef,2024-09-08T19:57:37.984Z,zlawrence@example.org,Katherine,Moore,active,2025-10-13T22:28:30.517Z
20171dbe-e402-4f1e-8e3a-ea524c4177a0,2025-06-16T17:04:23.675Z,curtis61@example.com,Melanie,Munoz,active,2025-10-27T11:48:52.791Z
caa4c108-872a-4cbb-956e-44c9e29eb987,2024-12-30T20:44:54.453Z,smiller@example.net,Christine,Hensley,active,2025-10-26T17:41:58.199Z
bb3b6846-0806-4182-a883-fef88b0f23ce,2024-10-01T07:51:34.423Z,kendragalloway@example.org,Michelle,James,active,2025-10-30T14:58:02.225Z
de214ef7-4edf-4ce4-bb0b-4e499b39c8ec,2024-05-01T22:47:43.469Z,jason41@example.net,Cynthia,Ferguson,active,2025-10-19T11:14:06.469Z
1f94f5ef-b3c7-4e56-b874-7f4e9a4bf8b9,2024-06-22T13:15:33.115Z,gabriellecameron@example.org,Jeremy,Johnson,active,2025-10-13T15:10:52.350Z
7b2dd02d-4bb1-423f-b5a2-6f8db56f6c56,2024-05-03T06:38:34.301Z,jason76@example.net,Stephen,Baker,active,2025-10-22T10:35:34.203Z
67f7b8b3-ff28-4f69-8763-3f19cda1627d,2024-11-11T07:39:29.469Z,zhurst@example.com,Jeffrey,Bright,active,2025-10-08T07:51:45.196Z
e654cfeb-f067-4610-acf6-12f1fb3ceb50,2024-08-09T21:15:14.153Z,hernandezernest@example.net,Robert,Brown,active,2025-11-04T11:36:54.617Z
8e8fda47-0303-43a3-87cf-a7f7c23e00cc,2024-07-10T14:40:51.192Z,frazierdanny@example.net,Karen,Mack,active,2025-10-14T09:43:40.333Z
d08d504e-ba33-4d5e-bbef-c85a65f6d469,2024-11-09T23:19:09.155Z,mckaynancy@example.com,Teresa,Gill,inactive,2025-10-08T19:01:24.852Z
255a0183-eedb-47bc-9a23-a284c238fc66,2025-09-06T01:28:29.440Z,ericfarmer@example.net,Stephanie,Nielsen,active,2025-10-23T13:38:52.362Z
9f6f4b21-d3cc-49bc-a7ac-303ba89eb728,2024-12-23T13:31:02.579Z,hickmannatasha@example.com,John,Allen,active,2025-10-07T23:06:46.269Z
